text,category,urgency,timestamp,has_photo
Basement shower drain partially clogged.,plumbing,semi-urgent,2025-02-18 09:19:48.674110,True
Oven clock reset needed.,appliance,non-urgent,2025-02-08 07:14:24.465920,True
Several ant spotted in bathroom.,pest,semi-urgent,2025-02-09 15:20:20.825646,True
Toilet in bathroom occasionally runs.,plumbing,non-urgent,2025-02-03 09:14:29.568411,False
Silverfish in dining room bathroom.,pest,semi-urgent,2025-02-16 23:19:18.026007,False
AC leaking heavily into electrical outlet in hallway.,hvac,urgent,2025-02-17 00:19:54.805412,True
Carbon monoxide detector alarming near kitchen heater.,hvac,urgent,2025-02-18 05:43:05.220580,False
One vent not working in bathroom.,hvac,non-urgent,2025-02-10 07:49:19.278467,False
Occasional ant in dining room.,pest,non-urgent,2025-02-17 05:58:52.322080,False
Fruit flies in office.,pest,non-urgent,2025-02-13 12:28:15.625545,False
Building directory needs updating.,miscellaneous,non-urgent,2025-02-21 16:59:41.487529,False
Recurring spiders in living room.,pest,semi-urgent,2025-02-28 20:19:14.735190,True
Sink stopper in balcony not working properly.,plumbing,non-urgent,2025-02-19 04:41:24.180083,False
Stairs collapsed in closet.,structural,urgent,2025-02-07 05:28:31.427053,False
"Washing machine overflowing, getting worse quickly.",appliance,urgent,2025-02-23 06:49:54.252245,True
Washing machine making slight noise during spin cycle.,appliance,non-urgent,2025-02-07 04:31:59.755131,False
Circuit breaker for bedroom making strange noise.,electrical,semi-urgent,2025-02-19 17:44:23.091314,True
"Refrigerator completely stopped working, unable to stay in apartment.",appliance,urgent,2025-02-24 11:51:13.660636,True
Package delivery shelf damaged.,miscellaneous,non-urgent,2025-02-03 07:23:11.665462,False
Water leaking onto electrical box in living room.,electrical,urgent,2025-02-12 14:09:39.454734,True
Few houseflies in kitchen.,pest,non-urgent,2025-02-11 17:16:40.985711,False
Moth infestation in laundry room closet.,pest,semi-urgent,2025-02-10 21:05:32.210247,True
Dishwasher rack missing wheel.,appliance,non-urgent,2025-02-22 11:50:20.474807,True
Minor temperature fluctuation in closet.,hvac,non-urgent,2025-02-15 20:33:58.651808,False
AC leaking heavily into electrical outlet in laundry room.,hvac,urgent,2025-02-17 02:54:35.985895,False
Minor cobwebs in dining room windows.,pest,non-urgent,2025-02-22 05:56:27.762768,False
Doorbell sound distorted.,electrical,non-urgent,2025-02-07 13:21:23.308108,False
"Bathroom floor making loud banging noise, need immediate attention.",structural,urgent,2025-02-03 05:50:05.576599,False
Slight delay when adjusting thermostat.,hvac,non-urgent,2025-02-22 22:19:41.965449,True
Heating vent cover fell off in balcony.,hvac,semi-urgent,2025-02-04 22:35:19.229945,False
Hot water tank leaking heavily in office.,plumbing,urgent,2025-02-28 00:47:53.085137,False
Stove burner not lighting.,appliance,semi-urgent,2025-02-16 11:38:28.311162,True
